role,panel,local_index,centre_x,centre_y,centre_z,signed_coefficient,signed_true_height,display_width_factor,display_height_factor,canonical_mesh_faces,panel_table,profile,display_centre_sign_height
61,7,5,2,5/4,5/8,8,1/1250,5,80,4/4,PASS,PASS,PASS
62,7,6,2,7/4,3/8,5,1/2000,5,80,4/4,PASS,PASS,PASS
63,7,7,2,7/4,5/8,6,3/5000,5,80,4/4,PASS,PASS,PASS
64,8,0,3/8,0,1/4,-1,-1/10000,5,80,4/4,PASS,PASS,PASS
65,8,1,3/8,0,3/4,-2,-1/5000,5,80,4/4,PASS,PASS,PASS
66,8,2,5/8,0,1/4,-3,-3/10000,5,80,4/4,PASS,PASS,PASS
67,8,3,5/8,0,3/4,-4,-1/2500,5,80,4/4,PASS,PASS,PASS
68,8,4,1/4,0,3/8,-5,-1/2000,5,80,4/4,PASS,PASS,PASS
69,8,5,1/4,0,5/8,-6,-3/5000,5,80,4/4,PASS,PASS,PASS
70,8,6,3/4,0,3/8,-7,-7/10000,5,80,4/4,PASS,PASS,PASS
71,8,7,3/4,0,5/8,-8,-1/1250,5,80,4/4,PASS,PASS,PASS
72,9,0,3/8,0,5/4,2,1/5000,5,80,4/4,PASS,PASS,PASS
73,9,1,3/8,0,7/4,1,1/10000,5,80,4/4,PASS,PASS,PASS
74,9,2,5/8,0,5/4,4,1/2500,5,80,4/4,PASS,PASS,PASS
75,9,3,5/8,0,7/4,3,3/10000,5,80,4/4,PASS,PASS,PASS
76,9,4,1/4,0,11/8,6,3/5000,5,80,4/4,PASS,PASS,PASS
77,9,5,1/4,0,13/8,5,1/2000,5,80,4/4,PASS,PASS,PASS
78,9,6,3/4,0,11/8,8,1/1250,5,80,4/4,PASS,PASS,PASS
79,9,7,3/4,0,13/8,7,7/10000,5,80,4/4,PASS,PASS,PASS
80,10,0,3/8,2,1/4,12,3/2500,5,80,4/4,PASS,PASS,PASS
81,10,1,3/8,2,3/4,11,11/10000,5,80,4/4,PASS,PASS,PASS
82,10,2,5/8,2,1/4,10,1/1000,5,80,4/4,PASS,PASS,PASS
83,10,3,5/8,2,3/4,9,9/10000,5,80,4/4,PASS,PASS,PASS
84,10,4,1/4,2,3/8,-12,-3/2500,5,80,4/4,PASS,PASS,PASS
85,10,5,1/4,2,5/8,-10,-1/1000,5,80,4/4,PASS,PASS,PASS
86,10,6,3/4,2,3/8,-11,-11/10000,5,80,4/4,PASS,PASS,PASS
87,10,7,3/4,2,5/8,-9,-9/10000,5,80,4/4,PASS,PASS,PASS
88,11,0,3/8,2,5/4,7,7/10000,5,80,4/4,PASS,PASS,PASS
89,11,1,3/8,2,7/4,5,1/2000,5,80,4/4,PASS,PASS,PASS
90,11,2,5/8,2,5/4,8,1/1250,5,80,4/4,PASS,PASS,PASS
91,11,3,5/8,2,7/4,6,3/5000,5,80,4/4,PASS,PASS,PASS
92,11,4,1/4,2,11/8,3,3/10000,5,80,4/4,PASS,PASS,PASS
93,11,5,1/4,2,13/8,1,1/10000,5,80,4/4,PASS,PASS,PASS
94,11,6,3/4,2,11/8,4,1/2500,5,80,4/4,PASS,PASS,PASS
95,11,7,3/4,2,13/8,2,1/5000,5,80,4/4,PASS,PASS,PASS
96,12,0,11/8,0,1/4,-6,-3/5000,5,80,4/4,PASS,PASS,PASS
97,12,1,11/8,0,3/4,-8,-1/1250,5,80,4/4,PASS,PASS,PASS
98,12,2,13/8,0,1/4,-5,-1/2000,5,80,4/4,PASS,PASS,PASS
99,12,3,13/8,0,3/4,-7,-7/10000,5,80,4/4,PASS,PASS,PASS
100,12,4,5/4,0,3/8,-2,-1/5000,5,80,4/4,PASS,PASS,PASS
101,12,5,5/4,0,5/8,-4,-1/2500,5,80,4/4,PASS,PASS,PASS
102,12,6,7/4,0,3/8,-1,-1/10000,5,80,4/4,PASS,PASS,PASS
103,12,7,7/4,0,5/8,-3,-3/10000,5,80,4/4,PASS,PASS,PASS
104,13,0,11/8,0,5/4,-9,-9/10000,5,80,4/4,PASS,PASS,PASS
105,13,1,11/8,0,7/4,-10,-1/1000,5,80,4/4,PASS,PASS,PASS
106,13,2,13/8,0,5/4,-11,-11/10000,5,80,4/4,PASS,PASS,PASS
107,13,3,13/8,0,7/4,-12,-3/2500,5,80,4/4,PASS,PASS,PASS
108,13,4,5/4,0,11/8,9,9/10000,5,80,4/4,PASS,PASS,PASS
109,13,5,5/4,0,13/8,11,11/10000,5,80,4/4,PASS,PASS,PASS
110,13,6,7/4,0,11/8,10,1/1000,5,80,4/4,PASS,PASS,PASS
111,13,7,7/4,0,13/8,12,3/2500,5,80,4/4,PASS,PASS,PASS
112,14,0,11/8,1,5/4,1,1/10000,5,80,4/4,PASS,PASS,PASS
113,14,1,11/8,1,7/4,2,1/5000,5,80,4/4,PASS,PASS,PASS
114,14,2,13/8,1,5/4,3,3/10000,5,80,4/4,PASS,PASS,PASS
115,14,3,13/8,1,7/4,4,1/2500,5,80,4/4,PASS,PASS,PASS
116,14,4,5/4,1,11/8,5,1/2000,5,80,4/4,PASS,PASS,PASS
117,14,5,5/4,1,13/8,6,3/5000,5,80,4/4,PASS,PASS,PASS
118,14,6,7/4,1,11/8,7,7/10000,5,80,4/4,PASS,PASS,PASS
119,14,7,7/4,1,13/8,8,1/1250,5,80,4/4,PASS,PASS,PASS
120,15,0,11/8,2,1/4,-3,-3/10000,5,80,4/4,PASS,PASS,PASS
121,15,1,11/8,2,3/4,-4,-1/2500,5,80,4/4,PASS,PASS,PASS
122,15,2,13/8,2,1/4,-1,-1/10000,5,80,4/4,PASS,PASS,PASS
123,15,3,13/8,2,3/4,-2,-1/5000,5,80,4/4,PASS,PASS,PASS
124,15,4,5/4,2,3/8,-7,-7/10000,5,80,4/4,PASS,PASS,PASS
125,15,5,5/4,2,5/8,-8,-1/1250,5,80,4/4,PASS,PASS,PASS
126,15,6,7/4,2,3/8,-5,-1/2000,5,80,4/4,PASS,PASS,PASS
127,15,7,7/4,2,5/8,-6,-3/5000,5,80,4/4,PASS,PASS,PASS
128,16,0,3/8,1/4,0,12,3/2500,5,80,4/4,PASS,PASS,PASS
129,16,1,3/8,3/4,0,11,11/10000,5,80,4/4,PASS,PASS,PASS
130,16,2,5/8,1/4,0,10,1/1000,5,80,4/4,PASS,PASS,PASS
131,16,3,5/8,3/4,0,9,9/10000,5,80,4/4,PASS,PASS,PASS
132,16,4,1/4,3/8,0,-12,-3/2500,5,80,4/4,PASS,PASS,PASS
133,16,5,1/4,5/8,0,-10,-1/1000,5,80,4/4,PASS,PASS,PASS
134,16,6,3/4,3/8,0,-11,-11/10000,5,80,4/4,PASS,PASS,PASS
135,16,7,3/4,5/8,0,-9,-9/10000,5,80,4/4,PASS,PASS,PASS
136,17,0,3/8,1/4,2,-12,-3/2500,5,80,4/4,PASS,PASS,PASS
137,17,1,3/8,3/4,2,-11,-11/10000,5,80,4/4,PASS,PASS,PASS
138,17,2,5/8,1/4,2,-10,-1/1000,5,80,4/4,PASS,PASS,PASS
139,17,3,5/8,3/4,2,-9,-9/10000,5,80,4/4,PASS,PASS,PASS
140,17,4,1/4,3/8,2,12,3/2500,5,80,4/4,PASS,PASS,PASS
141,17,5,1/4,5/8,2,10,1/1000,5,80,4/4,PASS,PASS,PASS
142,17,6,3/4,3/8,2,11,11/10000,5,80,4/4,PASS,PASS,PASS
143,17,7,3/4,5/8,2,9,9/10000,5,80,4/4,PASS,PASS,PASS
144,18,0,3/8,5/4,0,-2,-1/5000,5,80,4/4,PASS,PASS,PASS
145,18,1,3/8,7/4,0,-1,-1/10000,5,80,4/4,PASS,PASS,PASS
146,18,2,5/8,5/4,0,-4,-1/2500,5,80,4/4,PASS,PASS,PASS
147,18,3,5/8,7/4,0,-3,-3/10000,5,80,4/4,PASS,PASS,PASS
148,18,4,1/4,11/8,0,-6,-3/5000,5,80,4/4,PASS,PASS,PASS
149,18,5,1/4,13/8,0,-5,-1/2000,5,80,4/4,PASS,PASS,PASS
150,18,6,3/4,11/8,0,-8,-1/1250,5,80,4/4,PASS,PASS,PASS
